MICROPHONE,ORIENTATION,SOUND,ANGLE,ANSWER,PERSON
ZYLIA,AZIMUTH,NOISE,180,150,3
ZYLIA,AZIMUTH,NOISE,-30,-115,3
ZYLIA,ELEVATION,NOISE,-15,-165,3
ZYLIA,ELEVATION,NOISE,90,180,3
ZYLIA,ELEVATION,NOISE,-45,-175,3
ZYLIA,ELEVATION,NOISE,-150,170,3
ZYLIA,ELEVATION,NOISE,105,-155,3
ZYLIA,ELEVATION,NOISE,-135,-150,3
ZYLIA,ELEVATION,NOISE,30,-145,3
ZYLIA,ELEVATION,NOISE,135,-136,3
ZYLIA,AZIMUTH,ANGRY,0,,3
ZYLIA,AZIMUTH,ANGRY,90,,3
ZYLIA,AZIMUTH,ANGRY,-90,,3
ZYLIA,AZIMUTH,ANGRY,150,,3
ZYLIA,AZIMUTH,ANGRY,30,,3
ZYLIA,AZIMUTH,ANGRY,-150,,3
ZYLIA,AZIMUTH,ANGRY,180,,3
ZYLIA,AZIMUTH,ANGRY,-30,,3
ZYLIA,ELEVATION,SWEET,-15,,3
ZYLIA,ELEVATION,SWEET,90,,3
ZYLIA,ELEVATION,SWEET,-45,,3
ZYLIA,ELEVATION,SWEET,-150,,3
ZYLIA,ELEVATION,SWEET,105,,3
ZYLIA,ELEVATION,SWEET,-135,,3
ZYLIA,ELEVATION,SWEET,30,,3
ZYLIA,ELEVATION,SWEET,135,,3
BINAURAL,AZIMUTH,TRUMPET,0,-140,4
BINAURAL,AZIMUTH,TRUMPET,90,174,4
BINAURAL,AZIMUTH,TRUMPET,-90,155,4
BINAURAL,AZIMUTH,TRUMPET,150,24,4
BINAURAL,AZIMUTH,TRUMPET,30,148,4
BINAURAL,AZIMUTH,TRUMPET,-150,-126,4
BINAURAL,AZIMUTH,TRUMPET,180,-165,4
BINAURAL,AZIMUTH,TRUMPET,-30,-110,4
BINAURAL,ELEVATION,DUCK,-15,55,4
BINAURAL,ELEVATION,DUCK,90,160,4
BINAURAL,ELEVATION,DUCK,-45,135,4
BINAURAL,ELEVATION,DUCK,-150,140,4
BINAURAL,ELEVATION,DUCK,105,125,4
BINAURAL,ELEVATION,DUCK,-135,150,4
BINAURAL,ELEVATION,DUCK,30,-130,4
BINAURAL,ELEVATION,DUCK,135,175,4
